creole_word,word,creole name,
 fairy,refers to a chicken hearted person or someone who behaves like a fool,Nigeria,
 fall hand,to perform below par or nor to reach expectations,Nigeria,
 fall hands,To act immature,Nigeria,
 fall my hand,disappoint me,Nigeria,
 famz,To act as if you  are a friend to someone that doesn\'t know you espto a celebrityfor people ...,Nigeria,
 fap,To steal see: tap,Nigeria,
 fashi,This means to forget or ignore,Nigeria,
 fashie,forget or ignore something or someone.,Nigeria,
 faya,Firecooker or stove,Nigeria,
 fear catch me,i was afraid ,Nigeria,
 fear face?,Means don\'t you have respect,Nigeria,
 fear fear,Normally used when discussing especially if someone makes a frightful statementetc,Nigeria,
 feel,to appreciate someone or somethingto be in agreement withto take pleasure in an event or situ...,Nigeria,
 feem,film,Nigeria,
 felele,Not stablecan easily be swayed,Nigeria,
 fem,"Means ""shut up""",Nigeria,
 fff,Fine From Far but Far From Fine (Ugly),Nigeria,
 fi si,adding something extra,Nigeria,
 fia-fia ,means: always afriad,Nigeria,
 fight karat,To fight using martial arts,Nigeria,
 file,To allow someone or something to be.,Nigeria,
 fim,a movie or film,Nigeria,
 find am,To look for something,Nigeria,
 find my trouble,1. Annoyinggetting on my nerves,Nigeria,
 fine boi,1. Fresh facadetrendy,Nigeria,
 fire,A sarcastic way of saying indeed. ,Nigeria,
 fish,Slangsometimes very offensive.,Nigeria,
 fit,it is used to suggest the ability to do something.,Nigeria,
 flash,to call someone on the phone but letting the phone ring for a second before ending the call. so...,Nigeria,
 flendi,Someone who is enjoying life or something.,Nigeria,
 flenjo,Way of life,Nigeria,
 flex,To enjoy,Nigeria,
 flit,The application of an insecticide or substance used to kill insects.,Nigeria,
 flog,This is to beat someone with a cane as a form of corporal punishment,Nigeria,
 fly,To move in the airjust the way birds fly or other objects that flies in the air or sky.,Nigeria,
 follow follow,Is a degatory used to describe someone who follows or copies what other people do without reasoning.,Nigeria,
 fone,speaking in american or british accent,Nigeria,
 fonerize,the act of speaking with a foreign accent or do things that is not the nigerian way,Nigeria,
 for dey,FROM HERETHERE. MEANING TO INTEND DO SOMETHING,Nigeria,
 for were,this means something IMPOSSIBLE or not probable,Nigeria,
 for where,1.sarcastic way to say Impossiblenot a chance 2. see: life,Nigeria,
 form,Trying to be sometin you\'re not,Nigeria,
 form vex,To get annoyed or angry at a person or situation,Nigeria,
 former,someone who pretends to be what they are not Formers form. This means that wannabes pretend to be...,Nigeria,
 forming,showing off and/or pretending,Nigeria,
 fortate,To be scared,Nigeria,
 foto,photograph,Nigeria,
 four-forty,"Originated from a famous Nigerian soap Opera; \""The Masquerade\"" famed for making up humorous wor...",Nigeria,
 fourleg,A car,Nigeria,
 free me,allow melet me be.,Nigeria,
 fren,Friend,Nigeria,
 fren fren,1. favoritismfamiliarity 2. see: follow follow,Nigeria,
 frosh,a person who is rich and has swag..big swag..,Nigeria,
 frush,a person who has money and style,Nigeria,
 fuck,1-to have sex 2-to dissappoint,Nigeria,
 fuck up,1) To disappiont,Nigeria,
 fuckonso,1. To disappoint,Nigeria,
 fugazzy,Someone or something fakeImitation of a thingwanna beunreal,Nigeria,
 full ground,Plenty,Nigeria,
 full ground remain,Doing well,Nigeria,
 g4,Garri,Nigeria,
 gaj,Dress up nicely,Nigeria,
 galavant,working around with no cause,Nigeria,
 gallop,pot holes in the road,Nigeria,
 gan,"A word of yoruba origin meaning ""Big time""",Nigeria,
 ganja,A strong-smelling plant from whose dried leaves a number of euphoriant and hallucinogenic drugs a...,Nigeria,
 gara gara,Showing offdrawing attention to yourself,Nigeria,
 garm,"Clothes
From ""garments""",Nigeria,
 garms,"Means ""clothes"" and it is a shortened form of ""garments"". Started being used by edgy teens in sec...",Nigeria,
 garri,dried cassava flour. This is a staple food in Nigeria,Nigeria,
 gas,Gas which means to happen is commonly used in a phrase with 'yawa'as in 'yawa gas'. ,Nigeria,
 gate man,Someone that is payed to stand at the gate of a house to let people in and out. A guard.,Nigeria,
 gats,Got to / Have to,Nigeria,
 gazzo,To eat,Nigeria,
 gbab,means: do you understand?,Nigeria,
 gbadun,To really like or enjoy.,Nigeria,
 gbaga.,To escape or run away from something or someone.,Nigeria,
 gbagae,"refers to fight,crisis frequently used in warri",Nigeria,
 gbagaun,To make and error while speaking. ,Nigeria,
 gbagbe isele,Forget about that,Nigeria,
 gbagbeski,means yes or forget,Nigeria,
 gbanjo,Cheap price,Nigeria,
 gbaski,CuteFineWell aranged,Nigeria,
 gbati gbati,sometimes used to refer to a yoruba person,Nigeria,
 gbe bodie,Carry Your Body,Nigeria,
 gbedu,Party,Nigeria,
 gbege,An expression used when in trouble. Origins are possibly from the Niger-Delta area.,Nigeria,
 gbese,to put another person in trouble,Nigeria,
 gbge,Abge,Nigeria,
 gbo gbo,The sounds punches make,Nigeria,
 gbola,a mans\' penis.,Nigeria,
 gbolaa,It means big dick,Nigeria,
 gbolalaa,A deafening slap,Nigeria,
 gbolo," destroyedgone badspoilt,horrible,",Nigeria,
 gbomo - gbomo,,Nigeria,
 gbomogbomo,Kidnapper. ,Nigeria,
 gbosa,Loud explosion,Nigeria,
 geezm,1. GSMcellphone,Nigeria,
 geh,"""Geh"" means a young female human being. Or generallya female person.
It's the pidgin word for ...",Nigeria,
 gej,Means Goodluck Ebele Jonathanthe President of the federal republic of Nigeria.,Nigeria,
 gele,This is a Yoruba word for female head wrap. This is a rectangular cloth tied on a woman head for ...,Nigeria,
 gen,Shortened version of the word *Generator*,Nigeria,
 gen-gen,excitingon the edge,Nigeria,
 german stone,A dry rock like food made out of grounded pea nut butter. Its popularly knows as kwili kwili,Nigeria,
 gerrium,Gerrium or G-sulphate popularly known as garry is a popular staple in Nigeria.,Nigeria,
 get am,1. To own something 2. To be the person of the momentprobably after doing something praise-worthy,Nigeria,
 get belle,Pregnantbig stomach,Nigeria,
 get mouth,To be sassy or boisterous,Nigeria,
 get sense,Intelligence,Nigeria,
 gettaway,Get out.,Nigeria,
 ggu,Ggg,Nigeria,
 ghana must go,Large plastic bags used to transport items of interest from one place to another,Nigeria,
 gi mi,Give it to me,Nigeria,
 gidiba,A show of strength and valor,Nigeria,
 ginger,To be pumpedpsychedmotivated or excited,Nigeria,
 gism,GSM phone. see:geezm,Nigeria,
 gist,to gossipor have a serious conversation,Nigeria,
 give am,Give it to him/herretaliate,Nigeria,
 give am belle,1) to add volume or to increase the volume of an audio or visual equipment 2) to impregnate,Nigeria,
 globe,bulb,Nigeria,
 gnash,Fleshy part of human anatomy located in the rear part of the mid section below the waste. Commonl...,Nigeria,
 go hug transformer,An insult implying total dis-concern for the recipient.   ,Nigeria,
 go now,Start,Nigeria,
 go slow,Traffic,Nigeria,
 go-slow,traffic jam ,Nigeria,
 gobe,Trouble,Nigeria,
 goment,government,Nigeria,
 gon,it means,Nigeria,
 gorimapa,completely shaved head.,Nigeria,
 gov dannel,idiotic man ,Nigeria,
 gra gra,Troublesomeness,Nigeria,
 gra-gra,1. hustling 2. violent,Nigeria,
 grab,to have muscles. Muscular,Nigeria,
 grammar,something that is confusing in general. Usually means the person doesn\'t even want to hear any m...,Nigeria,
 gredge,A nigerian slang word meaning to eat excessivelysometimes to the point of depriving others from...,Nigeria,
 gree,Agree,Nigeria,
 gree-die,"Being stubborn. Derived from the literal translation of the Igbo language phrase  \""Osi onwu\"". A...",Nigeria,
 griddai,When one decides to do something which he'd rather not do. ,Nigeria,
 grin grin,To calle person for phone.,Nigeria,
 groove,Referred to as partyenjoyment,Nigeria,
 grub,1) Eat 2) Provisions/ Food stuff,Nigeria,
 guck,believe a lie,Nigeria,
 guck.,Mess up or fuck up.,Nigeria,
 guduma,Hammer,Nigeria,
 gumbodi,to be overly attached to somebody (and always needing the physical presence of that person).,Nigeria,
 guru,genius ,Nigeria,
 guy man,A Poser. Someone who believes they got swag.,Nigeria,
 guy name,Nickname,Nigeria,
 guy-man,A slang depicting a person (usually male)that is reputed to be quite cunning. (Can also be writ...,Nigeria,
 h-factor,a factor of h added into every razz Nigerians sentence.,Nigeria,
 haba,A way of saying please abeg,Nigeria,
 habba,see ABEG. 1. relax for a momentpleaseconsider me 2. can be used to make someone consider of t...,Nigeria,
 hail,form og greeting when u walk into a room filled with people or a person for instancesign of cou...,Nigeria,
 hala,To shout at or raise your voice at someone.,Nigeria,
 hamma,to have sex,Nigeria,
 haus,Househome,Nigeria,
 hear word,Obey iinstructionlisten,Nigeria,
 heart cut,To be afraid or shocked,Nigeria,
 heavy,veryvery muchseriousa lot of,Nigeria,
 hehe,,Nigeria,
 hello,Yfyu,Nigeria,
 hh,Hey,Nigeria,
 hia,Here,Nigeria,
 high,To drink or smoke any stuff that intoxicates.,Nigeria,
 hin,"Another way of saying ""him""
It is used as a second person posessive noun both for male and female.",Nigeria,
 hiphop,A usually percieved posher way of living.,Nigeria,
 hol,1. To hold something or somebody,Nigeria,
 hold,see Couple,Nigeria,
 hold belle,This is to prevent or endure hunger,Nigeria,
 hold-up,Traffic jam,Nigeria,
 holy ghost koboko,A term used to mock a self-righteous person.,Nigeria,
 holy holy,To act in a righteous wayespecially in an overdone way. Self-righteous.,Nigeria,
 home video,Locally made Nigerian Films,Nigeria,
 homo,Homo is the act of when two or more same sex romancing each other or worst.,Nigeria,
 house boy,male servant or house keeper,Nigeria,
 house girl,House keepernanny,Nigeria,
 how are you,,Nigeria,
 how bodi,How are you,Nigeria,
 how body,How are you?,Nigeria,
 how e be,how is it,Nigeria,
 how e be u,Whats up with you,Nigeria,
 how e dey be na,,Nigeria,
 how far,What's up?,Nigeria,
 how he day be,How it is going,Nigeria,
 how na,How are you!,Nigeria,
 how u dey ,How are you ,Nigeria,
 how ur end,Just want to know how you are doing,Nigeria,
 how ur side,How are you doing,Nigeria,
 how you dey,"a common pidgin greeting. It means ""How are you?"" ""Hope you are fine today?"" ""Hello"" ""Hi"" etc.  ",Nigeria,
 howfa,"An informal greeting that loosely translates to \""how are you?\"". May be applied more generally t...",Nigeria,
 hyper-jack,reading/studying to much,Nigeria,
 i bow o,To wonder over a person's action. ,Nigeria,
 i dey,I'm fine,Nigeria,
 i dey ache,I am in pain,Nigeria,
 i dey fear,I am afraid,Nigeria,
 i dey h,am hungry ,Nigeria,
 i dey kampe,I'm very well,Nigeria,
 i don die,I am finished/doomed,Nigeria,
 i don waka,I am going. ,Nigeria,
 i fit,I can,Nigeria,
 i full ground remain,I'm perfectly ready for anything,Nigeria,
 i go,i will,Nigeria,
 i go cure your craze,means \'I\'ll deal with you\' ,Nigeria,
 i greet ,To salute Someone ,Nigeria,
 i know say my mama born me fine so no go there,,Nigeria,
 i love u,I don fall for u,Nigeria,
 i love you babe,I love you Baby,Nigeria,
 i never chop,I haven't eaten,Nigeria,
 i no fit,I Can\'t,Nigeria,
 i no know,I dont know or have a clue,Nigeria,
 i no no,simply means i don\'t know,Nigeria,
 i no sabi,I don't know,Nigeria,
 i no send,I don't care,Nigeria,
 i no well,I\'m sick,Nigeria,
 i pass my neighbour,Portable Generator,Nigeria,
 i pray,"An exclamation. Usually sarcastic meaning ""I wish""!",Nigeria,
 i wan ease my self,1. To pee,Nigeria,
 i wash,To reject or to rid yourself of. It is often used in reply when someone is forming ajebo. Made po...,Nigeria,
 i weak,The situation is astounding. I am flabbergasted ,Nigeria,
 iacon,see AIRCON. a more extreme version of the word airconwhich is air conditioner.,Nigeria,
 iaport,Airport,Nigeria,
 iapot,Airport,Nigeria,
 ib,The capital city of Oyo State,Nigeria,
 ibeji,Twins,Nigeria,
 ibile,Son of the Soil. Proud to be local and shows it in every way.,Nigeria,
 ibo made,Made by IBO boys. Usually refers to fake things,Nigeria,
 idoma,Idoma is the language spoken in Benue southNorth-central Nigeria.,Nigeria,
 idomie,Instant Noodle,Nigeria,
 if u wan kno wetin d happen fo front ask pple wer comot from dat direction,If you want to know what is going on in the front ask people that is coming from that direction,Nigeria,
 igbati igbati association,Another word for yoruba people,Nigeria,
 igbo,Igbo is the language spoken by the igbo tribe in Nigeria,Nigeria,
 igboka,Pornography,Nigeria,
 igboo,Nigerian weed,Nigeria,
 ijebu,A tribe in Yoruba land and it can also mean someone that is stingy,Nigeria,
 ikebay,Buttocks,Nigeria,
 ikebe,Bottom see:yarnsh,Nigeria,
 ikorro,A short cut. ,Nigeria,
 im,A possessive pronoun used in the place of himhis and her,Nigeria,
 indomie,is a popular brand of noodles but it is used for all other brands of noodles,Nigeria,
 inkebe,Buttocks,Nigeria,
 innocent,Innocent was the name of the main character in the scary television series 'Wily wily'when he w...,Nigeria,
 insert sim,to have sex with a lady ,Nigeria,
 isi ewu,An igbo soup made from goat head.,Nigeria,
 italo,Italo simply means italy,Nigeria,
 itidere,Like making a shout out to your friends/fans. Mostly used by Naija Musicians.,Nigeria,
 itk,An abbreviation for I Too Knowwhich is somone who believes he/she has the answers to everything...,Nigeria,
 its coming,False expectation,Nigeria,
 ivinin,Evening,Nigeria,
 iwere,used as an insult to call someone mental,Nigeria,
 iya basira,Nickname for local food joints. The word originates from Styl Plus song(Iya Basira). Iya basira j...,Nigeria,
 iyama,Mudsomething digusting,Nigeria,
 iyawo,A word from yoruba language which means wife.,Nigeria,
 j-town,The capital city of Plateau state in central Nigeria. Jos,Nigeria,
 J.J.C,Jonny Just Come. A stranger in a place or someone that is new to something,Nigeria,
 ja,run,Nigeria,
 jab,work,Nigeria,
 jabrata,Availability. To be available.,Nigeria,
 jack,study seriously for an exam,Nigeria,
 jaga jaga,1)scattered 2) out of place,Nigeria,
 jaga-jaga,Haphazard,Nigeria,
 jagajaga,jagajaga mean say the tings no balancee mean say tings scatter.,Nigeria,
 jagbajantis,Nonsense,Nigeria,
 jaguda,crookfraudulent person,Nigeria,
 jagwa,Jagwa is a place in market where there is phone mechanic and second hand phone are sold which are...,Nigeria,
 jairation,To enjoyparty or have fun,Nigeria,
 jakin n.g.o. news,JAKIN N.G.O. NEWS,Nigeria,
 jakpa,Invaders i.e people who encroach on the land of others. ,Nigeria,
 jakpas doings,Rugged activities,Nigeria,
 jam,Collidemotor accident,Nigeria,
 jambite,somebody that just got admitted into university.,Nigeria,
 jambites,Freshmen in varsity ,Nigeria,
 jambo,WeedMarijuanaCannabis ,Nigeria,
 jan,"Overseas,abroad",Nigeria,
 jand,The united kingdom,Nigeria,
 jangilova,Swings in a playground,Nigeria,
 jankara,Market in lagosfake products,Nigeria,
 jara,adding extraa tip or bonus. Mostly in edible goods but can extend to money,Nigeria,
 jara e,Jara e means escape or remove yourself from trouble ,Nigeria,
 jayloaded,"Jaeyloaded – latest Nigeria musicvideos ,news and much more

Jaeyloaded.com is a music entert...",Nigeria,
 jazz,1. Nonsense 2. Trick,Nigeria,
 jeje,1.Gentle 2. Polite 3. upstanding indivigual,Nigeria,
 jejeli,doing things Gentlypolitely,Nigeria,
 jelorsi,jealousy,Nigeria,
 jeri,Fool,Nigeria,
 jesus,He\'s the son of God,Nigeria,
 jette,A prison yard,Nigeria,
 jip,also jeepor jiip. Any type of Sport Utility Vehicle. (regardless of make or model),Nigeria,
 jive,Car,Nigeria,
 jjc,slang meaning Johhny just come. Used to describe someone that is new or novice to a place or situ...,Nigeria,
 jjd,New comerNovice,Nigeria,
 jkm,,Nigeria,
 jo,The is the yoruba word for please,Nigeria,
 jobb,To dupetrick,Nigeria,
 jogo , To get Drunkintoxicated ,Nigeria,
 jogodo,the act of smoking ganja or Indian Hemp,Nigeria,
 johnthomas,Another name for penis,Nigeria,
 jolimenters,People that like to enjoy life,Nigeria,
 jollifikatt,Merriment. To enjoy one's self.,Nigeria,
 jollof,jollof rice. this is a popular way of preparing ricewith tomato pastecrayfishpeppersalt...,Nigeria,
 jonesing,To act stupidly or under the influence of alcohol or drugs.,Nigeria,
 jonz,It refers to been broke,Nigeria,
 jonze,To be confused to be unserious,Nigeria,
 jor,Please. usually used in a rude way ,Nigeria,
 jorr,Pleasesaid in a  way that is meant to offend someone. Most people say it when someone diss anot...,Nigeria,
 jubbo,Short for Junior,Nigeria,
 juju,Black magicor the use of evil powers to accomplish something,Nigeria,
 jujupoyoyo,A term of endearment .......cute and can be used on anyone,Nigeria,
 jump up,1. trouser or shorts that are to small for the wearer,Nigeria,
 junky,A person hopelessly addicted to a controlled substance.,Nigeria,
 k-leg,Knock-kneed.,Nigeria,
 kabash,The act of praying,Nigeria,
 kabu kabu,Unofficial taxi,Nigeria,
 kack,Dress well,Nigeria,
 kai,Exclamation see: chey,Nigeria,
 kai-kai,Homemade gin,Nigeria,
 kain,kind (of),Nigeria,
 kaita,KAITA(Noun/Verb): A man who single handedly hinder the hope of his country for reason best known ...,Nigeria,
 kaka,to defecatepoop,Nigeria,
 kakaraka,very firmstiff or unshakable ,Nigeria,
 kaku,Talkativeness ,Nigeria,
 kala,it means gun,Nigeria,
 kalaku,Indian hemp wrapped in paper instead of a rizler. ,Nigeria,
 kalban,house,Nigeria,
 kaluba,A word for money,Nigeria,
 kampe,Something that is stronghard and durable. ,Nigeria,
 kampke,StrongSufficient,Nigeria,
 kanda,Animal skin often roasted and cooked as food.often savoured with palm wine. ,Nigeria,
 kande ke baya,ACEEYA ,Nigeria,
 kanta,Bottle covercock for fizzy drinks like cokepepsifanta or alcoholic drinks like beer,Nigeria,
 kaone,a person who acts very local,Nigeria,
 kaput,die or decease,Nigeria,
 karanbani,Very Stubborn Child,Nigeria,
 karen daji,Wolf ,Nigeria,
 kasala,Big trouble ,Nigeria,
 kasuwan dare,Kasuwan dare-:- This is an Hausa word which means 'Night market'. It's a market that operate from...,Nigeria,
 kata,mucusfrom someone\'s nose,Nigeria,
 kata kata,troublehustlingsituational unrest,Nigeria,
 kata-kata,To cause commotion,Nigeria,
 katakata,problem or trouble,Nigeria,
 kawa,runawayleave quicklyhastily,Nigeria,
 kawasaki,to leave a place quickly,Nigeria,
 keke,tricycle,Nigeria,
 keke napep,commercial tricycle used widely in cities,Nigeria,
 kele,Girlfriend,Nigeria,
 kele kele,small small,Nigeria,
 keli,abuse,Nigeria,
 kep,Girl ,Nigeria,
 kezaya,Ashawo way dey share body anyhow,Nigeria,
 kgb,Kwanan gida bagbags that ladies of the night carry.,Nigeria,
 khaki no bi leather,1. Things are getting very tough.  2. Threat to someone telling him that - More trouble than barg...,Nigeria,
 kians,School,Nigeria,
 kilonshele,a youruba slang meaning what is happening.,Nigeria,
 kini,Yoruba word for 'what?' OR 'what is?',Nigeria,
 kiosk,This is a small shed made of wood where some groceries and condiments are sold,Nigeria,
 kipolu,A small wire fence usually placed to hold cattle,Nigeria,
 kishi,Money,Nigeria,
 klasi decentz,Klaasi decent is a fast raising upcoming musical artist he is a singer.,Nigeria,
 knacking,Act of sex,Nigeria,
 knicker,knee-length (or shorter) trousers. also called \'short knicker\',Nigeria,
 knockout,Popular fireworks,Nigeria,
 knot nine knot,1. Cell phone see:090,Nigeria,
 ko,isn\'t it,Nigeria,
 ko gbadun,expression disagreement to what someone is doing.  ,Nigeria,
 koboko,1. Cane,Nigeria,
 kognomi,word used to describe love potion usually ingested as solid or liquid food,Nigeria,
 koko,penis,Nigeria,
 koko waves,Unbrushed hair ,Nigeria,
 kokolette,Refers to a female partnermostly of a sexual nature,Nigeria,
 kokoro,This refers to insect.,Nigeria,
 kolo,1. Madcrazy 2.Unbelivable,Nigeria,
 kolobi,"Also see ""Colobi"".

1. To take charge or control of a place or a situation.
2. To successfully...",Nigeria,
 kolokolo,glutton,Nigeria,
 kolombi,To woe a kill,Nigeria,
 kom kom,This is a container usually made of tin. This kind of container can be found in the packaging of ...,Nigeria,
 kon,1. Use before verb to signify what has happened or will happen in future,Nigeria,
 kon3,this means country in english,Nigeria,
 konji,High libidosexually aroused etc ,Nigeria,
 konk,using the knuckles to hit someone on the head.,Nigeria,
 kontri,It mean country in english. It also called kon3,Nigeria,
 kool tempa,It simply Means: Calm Down!!! TAke it Easy!,Nigeria,
 koro-koro,see kro-kro.,Nigeria,
 korokoro,This means face to face or eyes contact.,Nigeria,
 koror,Corner or tight position. Not a pleasant one,Nigeria,
 kosi werey ,No wahala ,Nigeria,
 koti,A Police or uniformed officer,Nigeria,
 kowatiate,"To explain or expand on something. A play on the English word\""expatiate\"". Kowa meansto tell...",Nigeria,
 kpafuka,1. Give up the ghost 2. To die,Nigeria,
 kpai,1. to die 2. to tire to the point of death,Nigeria,
 kpakam,A slang used to lay emphasis.,Nigeria,
 kpako,"from hausa meaning \""wood\"". informal: vain; fool; useless; dead.",Nigeria,
 kpakrikpa,Immediately ,Nigeria,
 kpalaba,Trouble or problem,Nigeria,
 kpalas,see Banny,Nigeria,
 kpali,Passport or certificates of some sort. also pali,Nigeria,
 kpanch,To have sex or make love ,Nigeria,
 kpanda,Spoiltinferior,Nigeria,
 kpangolo ,(also know as pangolo),Nigeria,
 kpans,(Spoken informal) To have sex.,Nigeria,
 kpansh,Sexsexual intercourse,Nigeria,
 kpas,An idiota fool or stupid person.,Nigeria,
 kpash,nonsense: An adjective used to explain when someone is not making sense,Nigeria,
 kpata,"Abero slang for ""Underwear""",Nigeria,
 kpata kpata,completely or totally. also pata pata,Nigeria,
 kpatakpata,1. In conclusion.  2. Worst case senario,Nigeria,
 kpekere,yoruba name for fried unripe plantain. this is a snack. in lagos it is sold mostly by roadside ve...,Nigeria,
 kpekus,a vagina but depending on how it is used it could mean sex (vulgar) ,Nigeria,
 kpeme,It means to die,Nigeria,
 kpians,Used to refer to witches ,Nigeria,
 kpoli,,Nigeria,
 kpomo,Kpomo means 'cow skin',Nigeria,
 kpon kpi,To calm down. To relax. Especially when one is agitated.,Nigeria,
 kpoof.,Die.,Nigeria,
 kpor,Word for anything that is fabulous or good .,Nigeria,
 kpor-kpor,A force man,Nigeria,
 kpro,"It is used as a verb to mean \'to take it easy with\' or \'to mellow,\'to agree\'",Nigeria,
 kpuf,Shoot,Nigeria,
 kpuvie,a female Virginiapussy spoken around the edo and delta area.,Nigeria,
 kri,Crazy,Nigeria,
 kro-kro,rash,Nigeria,
 krokro,Skin infection,Nigeria,
 kudi,Money,Nigeria,
 kuja,To be startled or frightened,Nigeria,
 kukere,A calabar dance by iyanya,Nigeria,
 kukuma,as wellat oncealready ,Nigeria,
 kulikuli,Snack made from ground peanuts. (Origin: Hausa),Nigeria,
 kurukere,to act shadyto walk in a seductive manner,Nigeria,
 kuruley,Sleep,Nigeria,
 kuturu,Leprosy ,Nigeria,
 kuza,money or legal tender,Nigeria,
 kwanta,Problemget into trouble,Nigeria,
 kwapsi,to mess up or do something wrong,Nigeria,
 kwashiorkor,a severe form of malnutrition characterized by edema and an enlarged liver caused by sufficient c...,Nigeria,
 kway,"A form of greeting meaning "" how are things"".",Nigeria,
 kwili kwili,See german stone,Nigeria,
 lai,Lie,Nigeria,
 lai lai,Never or not in a million years,Nigeria,
 lai lai to lai lai,Never ever,Nigeria,
 lailai,Yoruba word for NEVER!,Nigeria,
 lakpa,Denyrefuse,Nigeria,
 lamba juana,Someone that misbehaves,Nigeria,
 lamba mean lies,Girl no de give me lamba,Nigeria,
 lamushuan,To have sex with someone.,Nigeria,
 land,To hit or to arrive,Nigeria,
 lap,Carry someone on your lap during a car ride,Nigeria,
 las gidis,alternative name for the city Lagos,Nigeria,
 lasgidi,Lasgidi or gidi means lagosthe former captal of Nigeria.,Nigeria,
 lash,to have sex,Nigeria,
 launch,to use a newly bought product for the for the first time.,Nigeria,
 learner,someone that is inexperienced or clueless,Nigeria,
 lebe,It means having a big mouth or big lips,Nigeria,
 leg over,Means to deceive or pull one over someone.   It originates from the technic where a soccer player...,Nigeria,
 legbere,a novice,Nigeria,
 legedis benz,Derived from Mercedes Benz. This denotes someone without a car and who walks everywhere.,Nigeria,
 legedisbenz,Someone who walks everywhere because they don\'t own a car,Nigeria,
 leggo,1 (Warri Slang) It can mean lets go or lets start.. Or even in extreme case death.,Nigeria,
 lego,Means To leave or to allow,Nigeria,
 legxus,Someone who walks everywhere because they don't own a car,Nigeria,
 legz,Shoe.,Nigeria,
 leke leke,an all white bird called cattle egret,Nigeria,
 lekpa,A thin/slider person,Nigeria,
 lekpa shandy,very slander person ,Nigeria,
 lem,verb: To eat Noun: Food,Nigeria,
 lem.,To eat.,Nigeria,
 lemb,To eat.,Nigeria,
 lepa,Skinny bony person,Nigeria,
 lepka shandy,very slander person,Nigeria,
 let my people go,This is when someone berely passes and exam,Nigeria,
 levels,Status in society or within a group of friends.,Nigeria,
 lie lie,a liar,Nigeria,
 life,1. At allnot a chanceimpossible,Nigeria,
 life no balance,Life or whatever situation being dealt with at the time is not fair or even.,Nigeria,
 lift,Elevator or Escalator,Nigeria,
 light,electrical power - usually coming from NEPA (see NEPA) or the PHC.,Nigeria,
 like play like play,Before you knew it,Nigeria,
 liver,Courageaudacity: \'to have liver\' means to be braveoften in a foolhardy way.,Nigeria,
 local,Fraud that originates and terminates in Nigeria,Nigeria,
 locker,school desk with shelvesusually with an opening to keep books in.,Nigeria,
 lockito,Uninformednot well traveled,Nigeria,
 loki,somebody who is not sophisticated or rash. this comes from the word LOCAL - somebody who has not ...,Nigeria,
 lol,pity,Nigeria,
 lolz,Funny,Nigeria,
 long leg,well connected,Nigeria,
 long thing,1. empty promises2. story3.long story,Nigeria,
 long throat,greed eater. always want to eat when others are eating,Nigeria,
 longa throat,greedyunsatisfied person,Nigeria,
 look for ur own life,MEANSWHEN SOMEONE DOESN\'T CARE ABOUT HIS LIFE,Nigeria,
 looku looku,to be looking at someone or something for a long time.,Nigeria,
 love,To have a strong afeection or tender deep for somebody or something,Nigeria,
 love you,Love you,Nigeria,
 luba,Money,Nigeria,
 luv,,Nigeria,
 lwkmd,"a facebook abbreviation for \""laugh wan kill me die\""..used when something is very funny and you ...",Nigeria,
 ma le,mother PRONOUNCED: Mah-ler,Nigeria,
 ma pin,a sacarstic or rude way of not answering a question. continue asking,Nigeria,
 maara ,Used to describe a person who can’t chest or dances at the whip of the cane.,Nigeria,
 maari,to slap someone,Nigeria,
 mach,1. step ontrample upon,Nigeria,
 macham,to step on something or someone. satan don fall for gutter ohh macham macham,Nigeria,
 machin,Something expensive or impressive ,Nigeria,
 machine,motor cycle see: okada,Nigeria,
 maclean,literally a brand name for a particular toothpaste but used 2 describe all kinds of toothpastes,Nigeria,
 mad ooo,A Nigerian slang describing when something is really cool. It is also an expression of surprise. ...,Nigeria,
 maga,really messed up ,Nigeria,
 maga (419),The mark in a con,Nigeria,
 maga no need pay,The white-collar job and office work isn\'t for everyone.,Nigeria,
 maggi,brand of spice/seasoning popular in Nigeria,Nigeria,
 mago mago,This is word means trickery. When someone is not acting straight forward.,Nigeria,
 maintain,To stay calm,Nigeria,
 maja,To harassintimidatecow someone down or put fear in some one,Nigeria,
 make,Let. Used to signify that you are going to do something.,Nigeria,
 make eye,to wink at someone,Nigeria,
 make i hear word,1:shut up 2:keep quiet,Nigeria,
 make mouth,Boast,Nigeria,
 make sense,Used for something that has value,Nigeria,
 make we,Let us,Nigeria,
 makossa,Do not bring your problems over to my area and spoil my joy--sort of,Nigeria,
 mal,It means abnormal,Nigeria,
 malan,it means teacher,Nigeria,
 mallam,someetimes means an hausa person or a muslim,Nigeria,
 malle,mummy,Nigeria,
 malo,a derogatory term sometimes used to refer to a Hausa man.,Nigeria,
 malu,cow,Nigeria,
 mama,Mama na another name for mothers,Nigeria,
 mama put,Local restaurant often found on the street corners. They are cheaper than proper restaurants.,Nigeria,
 mamaput,1. roadside restaurant,Nigeria,
 mami water,Pronounced: MAMI WATA.....Spirits of the Water...Like a Mermaid. At most times they\'re females.,Nigeria,
 mammar,to hit or beat something or someone,Nigeria,
 mammy water,A mermaid....she is considered evil bcos she lures men into the sea or river and makes them her l...,Nigeria,
 man pikin,Son of man,Nigeria,
 manchester,to feel horny,Nigeria,
 manchi,A guy,Nigeria,
 manya,to get drunk/intoxicated on drugs or alchohol,Nigeria,
