Words,Definition,,Country
foot battam,foot bottom  ,,Jamaican Creole
Forty Leg,Large Centipede  ,,Jamaican Creole
Fos,first  ,,Jamaican Creole
Fowl feed a yaad nuh hard fi k,Fowl fed at home isn't hard to catch  ,,Jamaican Creole
Frackles,Money  ,,Jamaican Creole
Fraidy fraidy,Easily Afraid  ,,Jamaican Creole
Gaan,"went, Gone  ",,Jamaican Creole
Gainst,Against  ,,Jamaican Creole
Galang,"Go away, go along / get on with, go away, go along, Go along/Go on  ",,Jamaican Creole
Galliwasp,A harmless Jamaican lizard which is incorrectly believed to be poisonous.,,Jamaican Creole
Gangalee,Gangster / Don  ,,Jamaican Creole
Ganja planta,Ganja farmer  ,,Jamaican Creole
Gansey,T-shirt  ,,Jamaican Creole
Gaza,Gaza  ,,Jamaican Creole
Gaza Mi Seh,Slang expression used to state that you support Vybz Kartel (a popular Jamaican entertainer) and his crew from the Portmore Empire(nicknamed Gaza). The literal translation is “Gaza I say”,,Jamaican Creole
Geem,Give him  ,,Jamaican Creole
Genaral,General  ,,Jamaican Creole
Genna,General  ,,Jamaican Creole
Get weh,Got away  ,,Jamaican Creole
Ghetto bwoy,Ghetto boy  ,,Jamaican Creole
Gi,"given, Give  ",,Jamaican Creole
Gideon,Armageddon  ,,Jamaican Creole
gimmi,give me  ,,Jamaican Creole
Ginga,Ginger  ,,Jamaican Creole
Ginnal,Con Artist  ,,Jamaican Creole
Git,Get  ,,Jamaican Creole
Git up,Get Up  ,,Jamaican Creole
Give thanks,Thank you  ,,Jamaican Creole
Gizzada,coconut pastries  ,,Jamaican Creole
Glammity,Glammy  ,,Jamaican Creole
Gleena,"Gleaner, The Gleaner  ",,Jamaican Creole
Go deh,Go there  ,,Jamaican Creole
Go down deh,Go down there  ,,Jamaican Creole
Go dung,Go down  ,,Jamaican Creole
Go go,"stripper, A stripper or club whore, Stripper  ",,Jamaican Creole
Go weh,go away  ,,Jamaican Creole
Goat deh sweat but long hair c,Goat is sweating but its long hair covers it  ,,Jamaican Creole
Goat mouth,Jinx  ,,Jamaican Creole
Godeh,"go there, Go there  ",,Jamaican Creole
Good fowl sey im a guh a marke,"Good fowl says he’s going to go the market, Sensei says he’s going too  ",,Jamaican Creole
Good Gyal,Good Girl  ,,Jamaican Creole
Goodas,"Nice Body (Girl), Good girl  ",,Jamaican Creole
Goodie,Goody  ,,Jamaican Creole
Govana,"Governor, Governor  ",,Jamaican Creole
Grades,Marijuana / Weed  ,,Jamaican Creole
Gravalicious,Greedy  ,,Jamaican Creole
Gree,agree / to get along  ,,Jamaican Creole
Greetings,"An opening used to express a greeting or to answer a telephone, normally by Rastafarians",,Jamaican Creole
Grindsman,Stallion  ,,Jamaican Creole
Grow,Raise  ,,Jamaican Creole
Grung,Ground  ,,Jamaican Creole
Gud aftanoon,Good afternoon  ,,Jamaican Creole
Gud evenin,Good evening  ,,Jamaican Creole
Gud Mawnin,"good morning, Good Morning  ",,Jamaican Creole
Gud mawnin how yuh stay,"Good morning, how are you?  ",,Jamaican Creole
Gud Nite,Good Night  ,,Jamaican Creole
Guh,"goes, go, Go  ",,Jamaican Creole
Guh Farwud,Go Forward  ,,Jamaican Creole
Guh fi,Go for  ,,Jamaican Creole
Guh leff,Go left  ,,Jamaican Creole
Guh rite,Go right  ,,Jamaican Creole
guh suh,Go this way (or that way)  ,,Jamaican Creole
Gully,"Ghetto or slum, Ghetto  ",,Jamaican Creole
Gully Mi Seh,"Slang expression used to state that you support Mavado (a popular Jamaican entertainer), but not is rival Vybz Kartel",,Jamaican Creole
Gungo peas,Pigeon peas  ,,Jamaican Creole
Gunguru mara,God Almighty  ,,Jamaican Creole
Guzzu,Curse  ,,Jamaican Creole
Gwaan,Go on  ,,Jamaican Creole
Gwaan suh,Acting like that  ,,Jamaican Creole
gwaana,go to  ,,Jamaican Creole
Gweh,"Go away, Go away  ",,Jamaican Creole
Maad,Awesome  ,,Jamaican Creole
Maaga,Skinny  ,,Jamaican Creole
Maama man,"Sissy, Homo  ",,Jamaican Creole
Maas,Mr.  ,,Jamaican Creole
Macaroni,"Used to describe a stupid person, particularly a bad driver usually carrying multiple unfortunate passengers. Someone is often called Macaroni after any type of automobile accident or if they are known to have had one or more crashes.",,Jamaican Creole
Macka,Thorns  ,,Jamaican Creole
Mad mi,Upset / drive crazy  ,,Jamaican Creole
Mada,mom  ,,Jamaican Creole
Madda,Mother  ,,Jamaican Creole
maddi maddi,eccentric  ,,Jamaican Creole
Maggle,Model  ,,Jamaican Creole
Mammy,Mommy  ,,Jamaican Creole
Mampy,"obese, Obese woman  ",,Jamaican Creole
Man a Gallis,I'm a player  ,,Jamaican Creole
Man a yaad,Man of the house.  ,,Jamaican Creole
Man clown,"A female that is strongly infatuated with a man and will do anything for him, even if he does not feel the same way",,Jamaican Creole
Man noh dun cross ah riva noh,Do not offend people knowing full well they are in a better position to cause you harm  ,,Jamaican Creole
Manley,Jamaican one thousand ($1000) dollar bill  ,,Jamaican Creole
Mannaz,Manners  ,,Jamaican Creole
Mannish Water,Goat Soup  ,,Jamaican Creole
Mantel,A male slut  ,,Jamaican Creole
Mareena,Wife beater tank top  ,,Jamaican Creole
Maroons,"Free hill dwellers whose forebears had either never known slavery or had successfully fled to the hills where they lived in free, self-governing communities",,Jamaican Creole
Mash up,Break  ,,Jamaican Creole
Mash up di place,Take by storm  ,,Jamaican Creole
Maskitta,Mosquito  ,,Jamaican Creole
Massah,Mister  ,,Jamaican Creole
Massive,Group or collective of human beings,,Jamaican Creole
matarafak,matter of fact  ,,Jamaican Creole
Matey,Side chick  ,,Jamaican Creole
Matic,An automatic gun  ,,Jamaican Creole
Matta,matter  ,,Jamaican Creole
Mauger,Skinny  ,,Jamaican Creole
Mawga,"Skinny, Skinny  ",,Jamaican Creole
mawga cow a bull muma,A slim cow is mother to a bull.  ,,Jamaican Creole
Mawning,Morning  ,,Jamaican Creole
mean,meant  ,,Jamaican Creole
Mechiz,Message  ,,Jamaican Creole
Mek,"makes, made, Make  ",,Jamaican Creole
Mek Dem,Let them  ,,Jamaican Creole
Mek it stay,Leave it alone  ,,Jamaican Creole
mek mi tell dem,let me tell them  ,,Jamaican Creole
Mek wi,let's  ,,Jamaican Creole
mek wi dweet,let us do it  ,,Jamaican Creole
mekhace,make haste  ,,Jamaican Creole
Mengkeh,"fool,  idiot, mentally ill etc  ",,Jamaican Creole
Mento,"Jamaican folk music, forerunner of calypso and reggae,now rarely performed",,Jamaican Creole
Merika,America  ,,Jamaican Creole
Merikan,American  ,,Jamaican Creole
Merri Crissmuss,Merry Christmas  ,,Jamaican Creole
Mi,"I’m, I'm, I, Me  ",,Jamaican Creole
Mi a,"I am, I'm  ",,Jamaican Creole
Mi a gwaan easy,I’m taking it easy  ,,Jamaican Creole
Mi a happen,I’m smoking hot  ,,Jamaican Creole
Mi a vegetarian,I'm vegetarian  ,,Jamaican Creole
Mi aright,I'm ok  ,,Jamaican Creole
Mi beg yuh,To ask humbly  ,,Jamaican Creole
Mi criss,I’m ok  ,,Jamaican Creole
Mi cum fram,l come from  ,,Jamaican Creole
Mi cum yah fi drink milk mi n,"I came here to drink milk, I didn’t come to count cows  ",,Jamaican Creole
Mi deh yah,"I'm Here, l'm here, I am here  ",,Jamaican Creole
Mi did ah,I was  ,,Jamaican Creole
Mi frass,I'm high  ,,Jamaican Creole
Mi fyah cyaah quench,"I can't stop, I will neva stop  ",,Jamaican Creole
Mi G,My General  ,,Jamaican Creole
Mi gaan,Good bye ,,Jamaican Creole
Mi gud,I'm good ,,Jamaican Creole
Mi gud tanks,"I'm fine, thanks ",,Jamaican Creole
Mi haffi,I have to ,,Jamaican Creole
Mi hav,I've ,,Jamaican Creole
Mi hav asthma,I have asthma ,,Jamaican Creole
Mi hav cold,I have the cold ,,Jamaican Creole
Mi head a hat mi,I have a headache ,,Jamaican Creole
Mi hungry,I'm hungry ,,Jamaican Creole
Mi like yuh,I like you ,,Jamaican Creole
Mi Luv Yuh,I Love You ,,Jamaican Creole
Mi luv yuh tuh,I love you too ,,Jamaican Creole
Mi luv yuh wid all a mi heart,I love you  with all of my heart ,,Jamaican Creole
Mi miss yuh,I miss you ,,Jamaican Creole
mi nah ramp,I am not playing. ,,Jamaican Creole
Mi name,My name is ,,Jamaican Creole
Mi need a dacta,I need a doctor ,,Jamaican Creole
Mi need fi guh a hospital,I need to go to the hospital ,,Jamaican Creole
mi neva baan wen mi madda gaan,I am not stupid ,,Jamaican Creole
Mi nice,I'm great ,,Jamaican Creole
Mi nuh,"I Don't,I don't ",,Jamaican Creole
Mi nuh biznizz,I don't care ,,Jamaican Creole
Mi nuh care bout yuh,l don't care about you ,,Jamaican Creole
Mi nuh deh pan nutten,Nothing is going on for me / I am not doing anything ,,Jamaican Creole
Mi nuh go deh,I did not go there ,,Jamaican Creole
Mi nuh kin teet,I'm very serious ,,Jamaican Creole
Mi nuh know,I don't know ,,Jamaican Creole
Mi nuh like eh,I don't like it ,,Jamaican Creole
Mi nuh luv yuh,l don't love you ,,Jamaican Creole
Mi nuh nyam pork,I don't eat pork ,,Jamaican Creole
Mi nuh undastan,I don't understand ,,Jamaican Creole
Mi nuh waah yuh,I don't want you ,,Jamaican Creole
Mi nuh waan yuh,l don't want you ,,Jamaican Creole
Mi old but mi no cold,I am old but I am not cold ,,Jamaican Creole
Mi old but mi nuh cold,I'm old but certainly not cold ,,Jamaican Creole
Mi pregnant,I'm pregnant ,,Jamaican Creole
Mi Raah,Oh my God ,,Jamaican Creole
Mi run tings yah,I'm in charge here ,,Jamaican Creole
Mi seh,I said / I say ,,Jamaican Creole
Mi sick,I'm sick ,,Jamaican Creole
mi soon farwud,I will be back soon ,,Jamaican Creole
Mi thirsty,I'm thirsty ,,Jamaican Creole
Mi throw mi corn but me neva c,I threw my corn but I didn't call any fowl ,,Jamaican Creole
Mi waah fi bi wid yuh fi eva,I want to be with you forever ,,Jamaican Creole
Mi wah yuh,I want you ,,Jamaican Creole
Mi wi call yuh inna di lataz,I will call you later ,,Jamaican Creole
Mi wi lick yuh inna yuh face,I will hit you in your face ,,Jamaican Creole
Mi wud,I'd ,,Jamaican Creole
Mi wudda like sum spring wata,I would like some bottled water ,,Jamaican Creole
Mi wudda waah breakfast,I would like breakfast ,,Jamaican Creole
Mi wudda waah dinna,I would  like dinner ,,Jamaican Creole
Mi Yaad,My home ,,Jamaican Creole
Mi yard,My home ,,Jamaican Creole
Mi yeye a mi market yuh a mi c,"My eyes are my market, you are my cocoa basket ",,Jamaican Creole
Mi yout,My youth ,,Jamaican Creole
Mia,I am ,,Jamaican Creole
Miggle,Middle ,,Jamaican Creole
Miggle day,midday ,,Jamaican Creole
mine shawp,to have a sharp mind ,,Jamaican Creole
miself,myself ,,Jamaican Creole
Miss Chin,Asian Woman ,,Jamaican Creole
Miss Lee,Expression used to refer to a person of Asian descent,,Jamaican Creole
Missa,Mr ,,Jamaican Creole
Missa Brinks,Sucker ,,Jamaican Creole
Missa Chin,Mister Chin ,,Jamaican Creole
naa av nuh massi,dont have mercy  ,,Jamaican Creole
Naafi,Don't have to  ,,Jamaican Creole
nable,"navel, Navel  ",,Jamaican Creole
Nah,not  ,,Jamaican Creole
Nah guh,"ain't, won't  ",,Jamaican Creole
Nah jesta,Not joking around  ,,Jamaican Creole
nah lie,not lying  ,,Jamaican Creole
Nah sell out,Not selling out  ,,Jamaican Creole
Nah tell yuh,Not telling you  ,,Jamaican Creole
Nanny,Jamaican five hundred ($500) dollar bill  ,,Jamaican Creole
Nanny raas,Grandmother's backside  ,,Jamaican Creole
Nassy,Nasty  ,,Jamaican Creole
Natch,Don /top ranking gangster  ,,Jamaican Creole
Natty,Rastafarian  ,,Jamaican Creole
NATTY CONGO,Dreadlocks Man  ,,Jamaican Creole
Nave,don't have  ,,Jamaican Creole
Nawmal a lie,"This is normal, is that a lie?  ",,Jamaican Creole
Nay,didn't / wasn't  ,,Jamaican Creole
Nebba,Never  ,,Jamaican Creole
Neegle,Needle  ,,Jamaican Creole
Neegle eye,Tight vagina  ,,Jamaican Creole
negus,king  ,,Jamaican Creole
Neguse Negest,King of Kings  ,,Jamaican Creole
Nek,Neck  ,,Jamaican Creole
Nek bak,Back of your neck  ,,Jamaican Creole
Neva,"weren't, wasn't, Never  ",,Jamaican Creole
Nex,Next  ,,Jamaican Creole
Ngaf,Don't give a f*ck  ,,Jamaican Creole
Nice up,To promote and foster a positive feeling.,,Jamaican Creole
Niceness,"Greatness , very good , sweet or worthy  ",,Jamaican Creole
Nine Night,Wake  ,,Jamaican Creole
Nite,night  ,,Jamaican Creole
Niyabinggy,Soldier  ,,Jamaican Creole
Nize,Noise  ,,Jamaican Creole
No sah,No Sir  ,,Jamaican Creole
No woman no cry,"No woman, don't cry  ",,Jamaican Creole
Nobady,anyone  ,,Jamaican Creole
Nobady haffi know,Nobody has to know  ,,Jamaican Creole
Nothing nah gwan,Nothing is going on  ,,Jamaican Creole
Nuff,"Many, More, Much etc., many/ a lot, It literally means many or plenty, from the English word enough., many / alot of, plenty  ",,Jamaican Creole
Nuff a unu,A lot of you  ,,Jamaican Creole
Nuff Luv,Lots of love  ,,Jamaican Creole
Nuff Respect,Utmost respect  ,,Jamaican Creole
Nuffa,A lot of  ,,Jamaican Creole
Nuffi,should not / must not  ,,Jamaican Creole
Nuh badda mi,Don't bother me  ,,Jamaican Creole
Nuh buy puss inna bag,Do not buy a cat in a bag  ,,Jamaican Creole
Nuh draw mi tongue,Don't draw my tongue  ,,Jamaican Creole
Nuh duh dat,Don't do that  ,,Jamaican Creole
Nuh ebery ting dat ave sugar s,Everything that has sugar in it is not necessary sweet  ,,Jamaican Creole
Nuh every kin teet ah laff,Not every smile is laugh  ,,Jamaican Creole
Nuh everything good fi eat go,Not everything good to eat is good to talk about  ,,Jamaican Creole
Nuh fi,"not to, Should not  ",,Jamaican Creole
Nuh linga,"Don Linger(Person), Expression used to state that you must not be slow or reluctant in whatever you are doing",,Jamaican Creole
Nuh live nowhere,"To have nothing or little, or not being in a comfortable or prosperous state because of poverty, no work etc. etc.",,Jamaican Creole
Nuh muh,"anymore, No more  ",,Jamaican Creole
Nuh muss,Nuh muss is an expression used to show confidence in knowing something or the ability to do something,,Jamaican Creole
nuh romp wid mi,Don't play with me  ,,Jamaican Creole
Nuh suh,Isn't that so?  ,,Jamaican Creole
Nuh tek ugly mek laff,Don't take an ugly situation for laughter.  ,,Jamaican Creole
NUH TRUE,Isn't it true?  ,,Jamaican Creole
Nuh wait till drum beat before,Do not wait until the drum beats before you grind your axe.  ,,Jamaican Creole
nuh weh,nowhere  ,,Jamaican Creole
nuhbadi,nobody  ,,Jamaican Creole
Numba,Number  ,,Jamaican Creole
paas,past  ,,Jamaican Creole
paat,part  ,,Jamaican Creole
paati,party  ,,Jamaican Creole
Palaava,palaver  ,,Jamaican Creole
pan,"On, on  ",,Jamaican Creole
pan di,on the  ,,Jamaican Creole
Panganat,Pomegranate  ,,Jamaican Creole
Pap chow,Bok Choy  ,,Jamaican Creole
pap dung,broken down  ,,Jamaican Creole
Papining,happening  ,,Jamaican Creole
Par,hang out  ,,Jamaican Creole
Parri,Friend  ,,Jamaican Creole
Passa Passa,"Chat, converse or gossip.  ",,Jamaican Creole
Patan,Flow / Style  ,,Jamaican Creole
Patois,Jamaican Patois (also known as “Patwa” or “Patwah”) is the language that is spoken by most Jamaicans. Jamaican Patois is a combination of an English based Creole language and West African based languages. Jamaican Creole came into existence as a medium for the slaves and their masters to communicate.,,Jamaican Creole
Patoo,Owl  ,,Jamaican Creole
Patwa,Patois  ,,Jamaican Creole
Patwah,Patois  ,,Jamaican Creole
Pawdie,Homie  ,,Jamaican Creole
Paypa,money / paper  ,,Jamaican Creole
Peacock hide him foot wen him,The Peacock hides his foot when he hears about his tail.  ,,Jamaican Creole
Pear,Avocado  ,,Jamaican Creole
Peenie wallie,"Firefly, Firefly  ",,Jamaican Creole
picha,picture  ,,Jamaican Creole
Pickeney,Child  ,,Jamaican Creole
Pickney,"kid, child or children, Child or children, children, Child  ",,Jamaican Creole
pickney dem,kids  ,,Jamaican Creole
Picky Picky,Finicky  ,,Jamaican Creole
Picky Picky Head,Messy Hair  ,,Jamaican Creole
pikcha,picture  ,,Jamaican Creole
Pissin Tail,Worthless  ,,Jamaican Creole
pokey,coochie  ,,Jamaican Creole
Politricksters,Politicians  ,,Jamaican Creole
Polytricks,Politics  ,,Jamaican Creole
pon,on  ,,Jamaican Creole
Pon di ting,On the thing  ,,Jamaican Creole
pon mi,on me  ,,Jamaican Creole
Pop dung,Broken down  ,,Jamaican Creole
Pop style,show off  ,,Jamaican Creole
Pop up,Break  ,,Jamaican Creole
Poppy show,"Derived from the term “puppet show”, this term is often used to ridicule someone because they have done something idiotic.",,Jamaican Creole
Pose,Suppose  ,,Jamaican Creole
poto poto,Mud or muddy  ,,Jamaican Creole
powa,power  ,,Jamaican Creole
powda,powder  ,,Jamaican Creole
Pree,"watch, Watch, Check Out  ",,Jamaican Creole
prekeh,A tragedy /Calamity,,Jamaican Creole
Prento,Novice  ,,Jamaican Creole
Priahs,Prayers  ,,Jamaican Creole
problem dem,problems  ,,Jamaican Creole
Proppa,Proper  ,,Jamaican Creole
Prospah,prosper  ,,Jamaican Creole
Prouda,proud of  ,,Jamaican Creole
Puh dung,Put down  ,,Jamaican Creole
Pull up,Start over / Rewind  ,,Jamaican Creole
Pum pum,"Vagina, vaginia, Vagina  ",,Jamaican Creole
Pum Pum Shorts,Extremely short shorts that barely covers a woman’s buttocks and clearly shows the outline of her vagina (pum pum). These shorts are short enough to be panties.,,Jamaican Creole
Pum Pum tun down,YUh p**sy smell like jones beach  ,,Jamaican Creole
Pum pum tun up,"P**sy tight, P**sy good, P**sy is good  ",,Jamaican Creole
Pums,Coochie  ,,Jamaican Creole
Punaani Printer,Shorts that are so tight and short that you can clearly see the vagina outline of the woman that is wearing it. The literal translation is “p**sy printer”.,,Jamaican Creole
Punash,Cunt  ,,Jamaican Creole
Pupa,Father  ,,Jamaican Creole
Puppa Jesus,Jesus Christ  ,,Jamaican Creole
Puss an dawg nuh ave di same l,Cats and dogs do not have the same type of luck  ,,Jamaican Creole
Sachiz,Sausage  ,,Jamaican Creole
Sah,sir  ,,Jamaican Creole
Sakeah,Because of or owing to.  ,,Jamaican Creole
Salt,bad lucky  ,,Jamaican Creole
Same suh,The same way  ,,Jamaican Creole
Same ting weh tick sheep tick,The same thing that pricks a sheep will prick a goat  ,,Jamaican Creole
Samfy Man,Con Man  ,,Jamaican Creole
Sapps,A manstress or male paramour  ,,Jamaican Creole
saps,"easy, easy  ",,Jamaican Creole
Satday,Saturday  ,,Jamaican Creole
Sawf,Soft  ,,Jamaican Creole
Sawkka sawkka,Cut through or have sex.  ,,Jamaican Creole
Sawta,Sort of  ,,Jamaican Creole
Scatta,Scatter  ,,Jamaican Creole
Science,Black Magic  ,,Jamaican Creole
Scornful dawg nyam dutty puddi,Scornful dog eats a dirty pudding  ,,Jamaican Creole
Screw,Frown  ,,Jamaican Creole
Screw Face,Scowling face  ,,Jamaican Creole
Sea puss,Octopus  ,,Jamaican Creole
sed,same  ,,Jamaican Creole
Sedway,Same way  ,,Jamaican Creole
See an blind hear an deaf,"See but be blind to it,  hear it but be deaf to it.  ",,Jamaican Creole
See an blind Hear an def,"See and blind, hear and deaf  ",,Jamaican Creole
Seed bag,Ball sack  ,,Jamaican Creole
seen,understood  ,,Jamaican Creole
Seet,see it  ,,Jamaican Creole
Seet deh,There it is  ,,Jamaican Creole
seet it ova deh suh,It is over there  ,,Jamaican Creole
Seet yah,Here it is  ,,Jamaican Creole
Seh,"says, Said, That, say, say  ",,Jamaican Creole
seh feh,Similar in meaning to “say something to me if you dare”. The literal translation is “say feh”.,,Jamaican Creole
Sekkle,Settle  ,,Jamaican Creole
sekkle yuhself,Settle yourself / Humble yourself  ,,Jamaican Creole
Selectah,D.J.  ,,Jamaican Creole
Sell off,"Slang term for expression of approval, normally used to denote that something is very nice or very good. This term is also used to state that the desired effect of an activity has been achieved.",,Jamaican Creole
sen,"send, sent  ",,Jamaican Creole
Senseh Fowl,Chicken  ,,Jamaican Creole
shakey,odd  ,,Jamaican Creole
Shawt,Short  ,,Jamaican Creole
Sheara,Shearer  ,,Jamaican Creole
Sheg Up,messed up / ruined  ,,Jamaican Creole
Shell,To bombard  ,,Jamaican Creole
Shell dung,take by storm  ,,Jamaican Creole
Shella,attacker  ,,Jamaican Creole
Shi,She  ,,Jamaican Creole
Shine eye gal,Gold digger  ,,Jamaican Creole
Shine head,Bald head  ,,Jamaican Creole
Shitstem,Corrupt System  ,,Jamaican Creole
Shoes alone know if the stocki,Shoes alone know if the stocking have holes.  ,,Jamaican Creole
shoob,shove  ,,Jamaican Creole
Shot a buss,Gunshots are firing  ,,Jamaican Creole
Shot yuh a bax,A quick slap (usually to the face)  ,,Jamaican Creole
Shotta,"Criminal, killer or murderer., Gangster  ",,Jamaican Creole
shoulda,shoulder  ,,Jamaican Creole
Shub,Shove  ,,Jamaican Creole
Shud,should  ,,Jamaican Creole
shudn,shouldn't  ,,Jamaican Creole
Shuub,"Push or Shove; throw (out), Shove  ",,Jamaican Creole
Si,"seen, See  ",,Jamaican Creole
Si dem deh,There they are  ,,Jamaican Creole
Si mi yah,See me here  ,,Jamaican Creole
Sick inna him head,"Crazy, loco, ridiculous.",,Jamaican Creole
Sick inna im head,Mad Or Crazy  ,,Jamaican Creole
Siddung,"sit down, Sit down  ",,Jamaican Creole
Sidung,sit  ,,Jamaican Creole
Siiick,Awesome / Entertaining ,,Jamaican Creole
Sinkle Bible,Aloe Vera ,,Jamaican Creole
Sinting,"Something,Something,Something ",,Jamaican Creole
sipple,slippery /slimy ,,Jamaican Creole
Sistah,Sister ,,Jamaican Creole
Sistren,Ladies ,,Jamaican Creole
sizzas,scissors ,,Jamaican Creole
Skanking,"A form of dancing originating in Jamaica, now most notably done in Ska/Reggae shows.  ",,Jamaican Creole
Skatta,scatter ,,Jamaican Creole
Sketel,"Prostitute or Golddigger,Slut ",,Jamaican Creole
skin dem teeth,smile ,,Jamaican Creole
Skin Teeth,Smile ,,Jamaican Creole
Skin Up,No remorse ,,Jamaican Creole
Skinout,Slang expression for when a female open her legs wide apart (either nude or scantily clad) which results in her exposing her vulva.,,Jamaican Creole
Skool,School ,,Jamaican Creole
Skoolah,schooler ,,Jamaican Creole
Skylark,Idle ,,Jamaican Creole
Slabba,Fatso ,,Jamaican Creole
Slabby,chubby ,,Jamaican Creole
Slack,Lewd ,,Jamaican Creole
Slackness,"bad things, misbehavior ",,Jamaican Creole
Slam,"Smash,Sex ",,Jamaican Creole
Slap,"Slang term normally used by males interchangeable for the word “sex”., Lick",,Jamaican Creole
Sleep hab no massa,Sleep has no master. ,,Jamaican Creole
slimmaz,Slim Girl ,,Jamaican Creole
Smaddy,Somebody ,,Jamaican Creole
Small up yuhself,Make room ,,Jamaican Creole
Smdh,Shake my damn head ,,Jamaican Creole
Smell green,Reek ,,Jamaican Creole
Smh,Shaking my head ,,Jamaican Creole
Sml,Smile ,,Jamaican Creole
Smlz,Smiles ,,Jamaican Creole
so cow a grow so him nose hole,"The more a cow grows, the more it's nostrils opens ",,Jamaican Creole
So mi like it,That's how I like it ,,Jamaican Creole
So so,Only ,,Jamaican Creole
Sometimish,Moody ,,Jamaican Creole
Soon come,Be there soon ,,Jamaican Creole
Soon Forward,I'll be there soon ,,Jamaican Creole
Sort out,"Good sex, Bang ",,Jamaican Creole
Soun,"sound, sounds ",,Jamaican Creole
Sound boy,"Sound boy, Disc Jockey ",,Jamaican Creole
Sound bwoy,Music DJ ,,Jamaican Creole
Sound System,"A huge mobile disco used to keep street parties in Jamaica. A sound system normally consist of Djs, turntables and huge speakers.",,Jamaican Creole
Sowah,"Sour,Sour ",,Jamaican Creole
Speaky Spokey,When a Jamaican tries to speak in an American or British accent (but usually result in a poor attempt) .,,Jamaican Creole
Spliff,marijuana cigarette ,,Jamaican Creole
Splurt,Split ,,Jamaican Creole
Squaddie,Police Officer ,,Jamaican Creole
Squaddy,Police Officer ,,Jamaican Creole
Squat,A dance ,,Jamaican Creole
staat,"started,start ",,Jamaican Creole
Stakki,"Mad person or demented,Mad person ",,Jamaican Creole
Stamina Daddy,Stallion ,,Jamaican Creole
Stamma,Stammer / stutter ,,Jamaican Creole
stan,stand ,,Jamaican Creole
Star,Dude ,,Jamaican Creole
Star bwoy,"Celebrity, Famous ",,Jamaican Creole
Stay pon cow back and cuss cow,On a cow's back yet cursing the cow ,,Jamaican Creole
Stg,Swear to God ,,Jamaican Creole
Stranger nuh know where di dee,A stranger does not know where the deep is ,,Jamaican Creole
Stullesha,Female Lover (Popularised by Mavado),,Jamaican Creole
Stush,Stuck up ,,Jamaican Creole
Style,To disrespect or underrate,,Jamaican Creole
Suck Unu Madda,Suck your mothers ,,Jamaican Creole
Suck yuh madda,Suck your mother ,,Jamaican Creole
Taak,"speak, Talk  ",,Jamaican Creole
Taament,Torment  ,,Jamaican Creole
tab,stab  ,,Jamaican Creole
tagereg,a hardened criminal  ,,Jamaican Creole
Talk di tings dem,Expose everything  ,,Jamaican Creole
Tallawah,strong or fearless  ,,Jamaican Creole
Tam,beanie  ,,Jamaican Creole
Tambrin,Tamarind  ,,Jamaican Creole
tampi,Marijuana or weed  ,,Jamaican Creole
Tan,Stay  ,,Jamaican Creole
Tan a yuh yaad,Stay at home  ,,Jamaican Creole
Tan deh,Stay there  ,,Jamaican Creole
Tan Pon It Long,Slang expression for saying that a man has strong sexual prowess, his sexual performance is spectacular and he is capable of having sex for a very long time. The literal translation of this term is “stay on it long”.,Jamaican Creole
Tan up,Stand Up  ,,Jamaican Creole
tangalang,To pick up or carry something.  ,,Jamaican Creole
tank,thank  ,,Jamaican Creole
Tanks,Thanks  ,,Jamaican Creole
Tap,"top, Stop  ",,Jamaican Creole
Tap a di tap,Boss  ,,Jamaican Creole
tawk up di tings dem,Say them as they are.  ,,Jamaican Creole
Taylah,Tailor  ,,Jamaican Creole
Tayse,Taste  ,,Jamaican Creole
Teacha,Teacher  ,,Jamaican Creole
Teet,Teeth  ,,Jamaican Creole
tegareg,"someone of no class, uncouth, a hooligan  ",,Jamaican Creole
Teif,Thief  ,,Jamaican Creole
Tek,"takes, taken, took, Take  ",,Jamaican Creole
tek baaskit cyaary waata,Use a basket to carry water  ,,Jamaican Creole
tek di miggle,take the middle.  ,,Jamaican Creole
Tek liberty Wid,"Disrespect someone, to be rude to another.",,Jamaican Creole
Tek mi fi eediat,Take me for an idiot  ,,Jamaican Creole
Tek milk out a cawfe,Take milk out of a calf  ,,Jamaican Creole
Tek time,Take your time  ,,Jamaican Creole
Tek Weh,Take away  ,,Jamaican Creole
Tek weh yuself,Take away yourself  ,,Jamaican Creole
Tekeisha,"A greedy woman or exploiter; She is only interested in a man for is his money, even if she has just met him.",,Jamaican Creole
Tenement yard,Housing area that is generally poor or undeveloped.,,Jamaican Creole
tenky massa,A gift or present.  ,,Jamaican Creole
Tess,Test  ,,Jamaican Creole
Thrue,because  ,,Jamaican Creole
Thursdeh,Thursday  ,,Jamaican Creole
Tiad,"tired, tired  ",,Jamaican Creole
Tichi,Tiny insects  ,,Jamaican Creole
Tichibu,A firefly  ,,Jamaican Creole
Tidday fi me tomorrow fi you,"Today is for me, tomorrow is for you  ",,Jamaican Creole
Tie,The act of trapping someone in a romantic relationship using a Jamaican dark magic called obeah. This type of sorcery is practice mostly by women in order to keep their partners in a relationship because of financial or other perceived benefits.,,Jamaican Creole
Time longa dan rope,Time is longer than a rope  ,,Jamaican Creole
Ting,Thing  ,,Jamaican Creole
tings,"stuff, things  ",,Jamaican Creole
Tings a gwaan,Conflict  ,,Jamaican Creole
